Time Bucket (America/Edmonton),Jasper Ave -Circuit_1 (kWatts),Jasper Ave -Circuit_2 (kWatts),Jasper Ave -Circuit_3 (kWatts),Jasper Ave -Circuit_4 (kWatts),Jasper Ave -Circuit_5 (kWatts),Jasper Ave -Circuit_10 (kWatts),Jasper Ave -Circuit_11 (kWatts)
01/25/2023 22:38:00,0.0069,0.0000,0.0126,0.0000,0.2167,0.0000,0.0000
01/25/2023 22:39:00,0.0070,0.0000,0.0125,0.0000,0.2184,0.0000,0.0000
01/25/2023 22:40:00,0.0068,0.0000,0.0123,0.0000,0.2169,0.0000,0.0000
01/25/2023 22:41:00,0.0066,0.0000,0.0123,0.0000,0.2180,0.0000,0.0000
01/25/2023 22:42:00,0.0069,0.0000,0.0121,0.0000,0.2162,0.0000,0.0000
01/25/2023 22:43:00,0.0068,0.0000,0.0121,0.0000,0.2270,0.0000,0.0000
01/25/2023 22:44:00,0.0071,0.0000,0.0121,0.0000,0.2281,0.0000,0.0000
01/25/2023 22:45:00,0.0069,0.0000,0.0120,0.0000,0.2193,0.0000,0.0000
01/25/2023 22:46:00,0.0070,0.0000,0.0119,0.0000,0.2125,0.0000,0.0000
01/25/2023 22:47:00,0.0070,0.0000,0.0120,0.0001,0.2131,0.0000,0.0000
01/25/2023 22:48:00,0.0069,0.0000,0.0120,0.0000,0.2098,0.0000,0.0000
01/25/2023 22:49:00,0.0066,0.0000,0.0118,0.0000,0.2125,0.0000,0.0000
01/25/2023 22:50:00,0.0067,0.0000,0.0118,0.0000,0.2087,0.0000,0.0000
01/25/2023 22:51:00,0.0068,0.0000,0.0119,0.0000,0.2097,0.0000,0.0000
01/25/2023 22:52:00,0.0068,0.0000,0.0119,0.0000,0.2107,0.0000,0.0000
01/25/2023 22:53:00,0.0068,0.0000,0.0118,0.0000,0.2097,0.0000,0.0000
01/25/2023 22:54:00,0.0069,0.0000,0.0116,0.0000,0.2105,0.0000,0.0000
01/25/2023 22:55:00,0.0069,0.0000,0.0119,0.0000,0.2109,0.0000,0.0000
